	Total Elapsed	Total Read	Total Write	Object: read (x500000)	Object: write (x100000)	Object: deep read (x500000)	Object: deep write (x100000)	Object: very deep read (x500000)	Object: very deep write (x100000)	Object: merge (x100000)	Small Array: read (x500000)	Small Array: write (x100000)	Small Array: deep read (x500000)	Small Array: deep write (x100000)	Large Array: read (x500000)	Large Array: write (x100000)	Large Array: deep read (x500000)	Large Array: deep write (x100000)
Mutable	112	72	40	8	3	2	2	51	11	16	2	2	3	2	3	2	3	2
timm	1139	139	1000	15	62	21	107	55	251	174	13	26	11	26	14	180	10	174
Object.assign	1427	73	1354	9	112	2	140	49	210	94	3	52	4	69	3	334	3	343
immutable.js	1760	547	1213	16	22	86	48	239	103	648	20	87	93	117	16	68	77	120
simply-immutable	1762	75	1687	8	94	3	160	52	344	208	3	70	3	95	3	343	3	373
immutable-assign	2452	71	2381	8	47	3	197	47	551	42	3	64	4	296	3	344	3	840
immer	5382	99	5283	11	216	7	379	52	750	247	8	282	7	450	7	1401	7	1558
freeze:Object.assign	21606	146	21460	15	150	18	285	55	459	184	12	916	16	985	12	9243	18	9238
freeze:simply-immutable	29119	143	28976	14	176	20	331	50	606	382	12	1203	16	1324	12	12430	19	12524
freeze:immutable-assign	31707	149	31558	17	37	23	200	51	548	38	12	907	16	2147	13	9068	17	18613
freeze:immer	35200	138	35062	14	324	17	588	50	1065	371	11	1484	15	1791	14	14660	17	14779
seamless-immutable	41684	150	41534	16	381	26	756	65	1751	420	12	2095	10	2746	11	15882	10	17503
